file: cl_flux_energy.fits, z bin: 3, includes first ell: True, [0.16,0.5,0.84] quantiles: [-186.255456    -55.77066269   73.30800122], A = -55.77066268742395 (+129.0786639048203, -130.4847933077657)

file: cl_flux_energy.fits, z bin: 4, includes first ell: True, [0.16,0.5,0.84] quantiles: [-249.75969924  -93.0677782    62.45666607], A = -93.06777820347742 (+155.52444427391944, -156.6919210405829)

file: cl_flux_energy.fits, z bin: 5, includes first ell: True, [0.16,0.5,0.84] quantiles: [-429.71926102 -213.33078003    5.35591939], A = -213.33078003189098 (+218.68669941927686, -216.38848099043412)

file: cl_flux_energy.fits, z bin: 6, includes first ell: True, [0.16,0.5,0.84] quantiles: [  7.26330861 109.38345375 211.13465609], A = 109.38345375061736 (+101.75120233956399, -102.12014514540635)

file: cl_flux_energy.fits, z bin: 7, includes first ell: True, [0.16,0.5,0.84] quantiles: [-299.50090985 -114.81569105   66.08181123], A = -114.81569105358076 (+180.89750228325084, -184.68521880128472)

file: cl_flux_energy.fits, z bin: 8, includes first ell: True, [0.16,0.5,0.84] quantiles: [-237.2658637    36.61639015  306.96761896], A = 36.6163901511557 (+270.35122881348394, -273.8822538471256)

file: cl_flux_energy.fits, z bin: 9, includes first ell: True, [0.16,0.5,0.84] quantiles: [-4578.50916812 -2878.65211234 -1208.87677642], A = -2878.6521123352086 (+1669.7753359138792, -1699.8570557819385)

file: cl_flux_energy.fits, z bin: 10, includes first ell: True, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.68260107722858 (+6.884590675326763e-10, -8.153335784299998e-10)

file: cl_flux_energy.fits, z bin: 11, includes first ell: True, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.6826010775847 (+8.310223620355828e-10, -4.835953859583242e-10)

file: cl_flux_energy.fits, z bin: 0, includes first ell: False, [0.16,0.5,0.84] quantiles: [-148.13838866  -73.14352917   -0.52163317], A = -73.14352916624927 (+72.62189599535579, -74.99485949254111)

